Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Tomato Small(Local),KG,Rs 100.00,Rs 120.00,Rs 110.00
Tomato Small(Tunnel),KG,Rs 110.00,Rs 130.00,Rs 120.00
Tomato Small(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Potato Red,KG,Rs 80.00,Rs 85.00,Rs 82.67
Potato Red(Indian),KG,Rs 62.00,Rs 64.00,Rs 63.00
Potato Red(Mude),KG,Rs 70.00,Rs 75.00,Rs 72.67
Potato White,KG,Rs 68.00,Rs 70.00,Rs 69.00
Onion Dry (Indian),KG,Rs 102.00,Rs 105.00,Rs 103.33
Carrot(Local),KG,Rs 110.00,Rs 120.00,Rs 115.00
Carrot(Terai),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cabbage(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cabbage(Terai),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cauli Local,KG,Rs 120.00,Rs 140.00,Rs 130.00
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 45.00,Rs 38.33
Brinjal Long,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brinjal Round,KG,Rs 90.00,Rs 100.00,Rs 95.00
Cow pea(Long),KG,Rs 110.00,Rs 120.00,Rs 115.00
Cowpea(Short),KG,Rs 60.00,Rs 70.00,Rs 65.00
Green Peas,KG,Rs 180.00,Rs 200.00,Rs 190.00
French Bean(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Rajma),KG,Rs 180.00,Rs 200.00,Rs 190.00
Sword Bean,KG,Rs 70.00,Rs 80.00,Rs 75.00
Soyabean Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bitter Gourd,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bottle Gourd,KG,Rs 20.00,Rs 35.00,Rs 27.50
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 75.00
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Smooth Gourd,KG,Rs 70.00,Rs 80.00,Rs 75.00
Pumpkin,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Long),KG,Rs 70.00,Rs 80.00,Rs 75.00
Squash(Round),KG,Rs 70.00,Rs 80.00,Rs 75.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 95.00
Okara,KG,Rs 60.00,Rs 70.00,Rs 65.00
Sweet Potato,KG,Rs 80.00,Rs 90.00,Rs 85.00
Barela,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,KG,Rs 50.00,Rs 60.00,Rs 55.00
Christophine,KG,Rs 15.00,Rs 20.00,Rs 17.67
