Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Tomato Small(Tunnel),KG,Rs 110.00,Rs 130.00,Rs 120.00
Potato Red,KG,Rs 75.00,Rs 80.00,Rs 77.33
Potato White,KG,Rs 63.00,Rs 65.00,Rs 64.00
Carrot(Local),KG,Rs 130.00,Rs 140.00,Rs 135.00
Cabbage(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Cauli Local,KG,Rs 90.00,Rs 100.00,Rs 95.00
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cowpea(Short),KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
French Bean(Rajma),KG,Rs 100.00,Rs 120.00,Rs 110.00
Bitter Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 50.00,Rs 60.00,Rs 55.00
Okara,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brd Leaf Mustard,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cress Leaf,KG,Rs 100.00,Rs 150.00,Rs 126.67
Fenugreek Leaf,KG,Rs 100.00,Rs 150.00,Rs 125.00
Bakula,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Kanya),KG,Rs 180.00,Rs 220.00,Rs 200.00
Asparagus,KG,Rs 800.00,"Rs 1,000.00",Rs 900.00
Sugarbeet,KG,Rs 80.00,Rs 90.00,Rs 85.00
Lettuce,KG,Rs 100.00,Rs 120.00,Rs 110.00
Parseley,KG,"Rs 1,500.00","Rs 1,800.00","Rs 1,650.00"
Turnip A,KG,Rs 50.00,Rs 70.00,Rs 60.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 160.00,Rs 180.00,Rs 170.00
Grapes(Black),KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 75.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 100.00,Rs 130.00,Rs 116.67
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Akbare),KG,Rs 250.00,Rs 270.00,Rs 260.00
Garlic Green,KG,Rs 200.00,Rs 250.00,Rs 226.67
Garlic Dry Chinese,KG,Rs 310.00,Rs 330.00,Rs 320.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 353.33
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 280.00,Rs 260.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Small(Local),KG,Rs 80.00,Rs 95.00,Rs 88.33
Tomato Small(Indian),KG,Rs 80.00,Rs 90.00,Rs 85.00
Potato Red(Indian),KG,Rs 56.00,Rs 60.00,Rs 58.00
Onion Dry (Indian),KG,Rs 125.00,Rs 130.00,Rs 127.67
Carrot(Terai),KG,Rs 100.00,Rs 120.00,Rs 110.00
Cabbage(Terai),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Terai,KG,Rs 80.00,Rs 90.00,Rs 85.00
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cow pea(Long),KG,Rs 140.00,Rs 150.00,Rs 145.00
Green Peas,KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Hybrid),KG,Rs 90.00,Rs 100.00,Rs 95.00
Sword Bean,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 75.00
Smooth Gourd,KG,Rs 70.00,Rs 80.00,Rs 75.00
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Turnip,KG,Rs 80.00,Rs 90.00,Rs 85.00
Barela,KG,Rs 40.00,Rs 50.00,Rs 45.00
Christophine,KG,Rs 15.00,Rs 20.00,Rs 17.33
Spinach Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mustard Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Onion Green,KG,Rs 120.00,Rs 150.00,Rs 135.00
Yam,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Button),KG,Rs 280.00,Rs 330.00,Rs 303.33
Brocauli,KG,Rs 130.00,Rs 150.00,Rs 140.00
Red Cabbbage,KG,Rs 100.00,Rs 150.00,Rs 125.00
Celery,KG,Rs 500.00,Rs 600.00,Rs 550.00
Mint,KG,Rs 500.00,Rs 700.00,Rs 600.00
Tamarind,KG,Rs 140.00,Rs 160.00,Rs 150.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 150.00,Rs 170.00,Rs 160.00
Pomegranate,KG,Rs 450.00,Rs 480.00,Rs 465.00
Orange(Nepali),KG,Rs 90.00,Rs 110.00,Rs 100.00
Water Melon(Green),KG,Rs 80.00,Rs 100.00,Rs 90.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 325.00
Cucumber(Local),KG,Rs 90.00,Rs 110.00,Rs 100.00
Lemon,KG,Rs 40.00,Rs 50.00,Rs 45.00
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 150.00,Rs 180.00,Rs 165.00
Strawberry,KG,Rs 500.00,Rs 600.00,Rs 550.00
Sarifa,KG,Rs 200.00,Rs 250.00,Rs 223.33
Amla,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Dry,KG,Rs 400.00,Rs 430.00,Rs 416.67
Chilli Green(Bullet),KG,Rs 90.00,Rs 100.00,Rs 95.00
Capsicum,KG,Rs 100.00,Rs 130.00,Rs 116.67
Coriander Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Garlic Dry Nepali,KG,Rs 330.00,Rs 350.00,Rs 340.00
Clive Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 280.00,Rs 265.00
Tree Tomato,Kg,Rs 180.00,Rs 200.00,Rs 190.00
