Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 80.00,Rs 100.00,Rs 90.00
Tomato Small(Tunnel),KG,Rs 70.00,Rs 105.00,Rs 89.00
Potato Red,KG,Rs 80.00,Rs 85.00,Rs 82.67
Potato White,KG,Rs 65.00,Rs 68.00,Rs 66.67
Carrot(Local),KG,Rs 120.00,Rs 130.00,Rs 125.00
Cabbage(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,KG,Rs 100.00,Rs 110.00,Rs 105.00
Raddish White(Local),KG,Rs 25.00,Rs 30.00,Rs 27.67
Brinjal Long,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),KG,Rs 120.00,Rs 130.00,Rs 125.00
Green Peas,KG,Rs 160.00,Rs 180.00,Rs 170.00
French Bean(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 65.00
Sword Bean,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pumpkin,KG,Rs 35.00,Rs 40.00,Rs 37.67
Squash(Round),KG,Rs 40.00,Rs 50.00,Rs 45.00
Okara,KG,Rs 70.00,Rs 80.00,Rs 75.00
Barela,KG,Rs 45.00,Rs 55.00,Rs 50.00
Christophine,KG,Rs 20.00,Rs 30.00,Rs 25.00
Spinach Leaf,KG,Rs 150.00,Rs 200.00,Rs 176.67
Mustard Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Mushroom(Kanya),KG,Rs 130.00,Rs 170.00,Rs 152.50
Asparagus,KG,Rs 800.00,"Rs 1,000.00",Rs 900.00
Sugarbeet,KG,Rs 80.00,Rs 90.00,Rs 85.00
Lettuce,KG,Rs 150.00,Rs 200.00,Rs 176.67
Parseley,KG,"Rs 2,000.00","Rs 2,500.00","Rs 2,266.67"
Turnip A,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 150.00,Rs 170.00,Rs 160.00
Grapes(Black),KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 65.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sarifa,KG,Rs 150.00,Rs 200.00,Rs 176.67
Amla,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Dry,KG,Rs 400.00,Rs 430.00,Rs 415.00
Chilli Green(Bullet),KG,Rs 130.00,Rs 150.00,Rs 140.00
Capsicum,KG,Rs 130.00,Rs 150.00,Rs 140.00
Coriander Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Garlic Dry Nepali,KG,Rs 330.00,Rs 350.00,Rs 340.00
Clive Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 280.00,Rs 263.33
Tree Tomato,Kg,Rs 140.00,Rs 150.00,Rs 145.00
Tomato Small(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Indian),KG,Rs 60.00,Rs 70.00,Rs 65.00
Potato Red(Indian),KG,Rs 60.00,Rs 62.00,Rs 61.00
Onion Dry (Indian),KG,Rs 103.00,Rs 105.00,Rs 104.00
Carrot(Terai),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cabbage(Terai),KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 55.00,Rs 60.00,Rs 57.67
French Bean(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Rajma),KG,Rs 90.00,Rs 100.00,Rs 95.00
Soyabean Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bottle Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pointed Gourd(Terai),KG,Rs 60.00,Rs 70.00,Rs 65.00
Smooth Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Long),KG,Rs 50.00,Rs 60.00,Rs 55.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 50.00,Rs 60.00,Rs 55.00
Brd Leaf Mustard,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cress Leaf,KG,Rs 150.00,Rs 200.00,Rs 176.67
Onion Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Button),KG,Rs 450.00,Rs 500.00,Rs 476.67
