Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Tomato Small(Tunnel),KG,Rs 80.00,Rs 100.00,Rs 90.00
Potato Red,KG,Rs 75.00,Rs 80.00,Rs 77.67
Potato White,KG,Rs 60.00,Rs 65.00,Rs 62.33
Carrot(Local),KG,Rs 120.00,Rs 130.00,Rs 125.00
Cabbage(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),KG,Rs 20.00,Rs 25.00,Rs 22.33
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cow pea(Long),KG,Rs 110.00,Rs 120.00,Rs 115.00
Green Peas,KG,Rs 140.00,Rs 150.00,Rs 145.00
French Bean(Hybrid),KG,Rs 55.00,Rs 60.00,Rs 57.67
Sword Bean,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bitter Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Smooth Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Potato,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brd Leaf Mustard,KG,Rs 40.00,Rs 60.00,Rs 48.33
Cress Leaf,KG,Rs 140.00,Rs 150.00,Rs 145.00
Fenugreek Leaf,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bakula,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mushroom(Button),KG,Rs 200.00,Rs 250.00,Rs 226.67
Brocauli,KG,Rs 140.00,Rs 150.00,Rs 145.00
Red Cabbbage,KG,Rs 50.00,Rs 60.00,Rs 55.00
Celery,KG,Rs 500.00,Rs 600.00,Rs 550.00
Mint,KG,Rs 500.00,Rs 700.00,Rs 616.67
Tamarind,KG,Rs 140.00,Rs 160.00,Rs 150.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 160.00,Rs 180.00,Rs 170.00
Pomegranate,KG,Rs 450.00,Rs 480.00,Rs 463.33
Orange(Nepali),KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 65.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Sarifa,KG,Rs 150.00,Rs 200.00,Rs 176.67
Amla,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Dry,KG,Rs 400.00,Rs 430.00,Rs 415.00
Chilli Green(Bullet),KG,Rs 110.00,Rs 120.00,Rs 115.00
Capsicum,KG,Rs 130.00,Rs 140.00,Rs 135.00
Coriander Green,KG,Rs 80.00,Rs 100.00,Rs 90.00
Garlic Dry Nepali,KG,Rs 330.00,Rs 350.00,Rs 340.00
Clive Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 280.00,Rs 263.33
Tree Tomato,Kg,Rs 140.00,Rs 150.00,Rs 145.00
Tomato Small(Local),KG,Rs 55.00,Rs 65.00,Rs 60.00
Tomato Small(Indian),KG,Rs 45.00,Rs 55.00,Rs 50.00
Potato Red(Indian),KG,Rs 60.00,Rs 62.00,Rs 61.00
Onion Dry (Indian),KG,Rs 120.00,Rs 125.00,Rs 122.33
