Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 80.00,Rs 90.00,Rs 85.00
Tomato Small(Tunnel),KG,Rs 55.00,Rs 75.00,Rs 65.00
Potato Red,KG,Rs 80.00,Rs 85.00,Rs 83.00
Potato White,KG,Rs 60.00,Rs 65.00,Rs 62.67
Carrot(Local),KG,Rs 120.00,Rs 130.00,Rs 125.00
Cabbage(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),KG,Rs 10.00,Rs 20.00,Rs 15.00
Brinjal Long,KG,Rs 30.00,Rs 35.00,Rs 32.67
Cow pea(Long),KG,Rs 140.00,Rs 150.00,Rs 145.00
Green Peas,KG,Rs 80.00,Rs 100.00,Rs 90.00
French Bean(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Sword Bean,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pointed Gourd(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Smooth Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Long),KG,Rs 40.00,Rs 45.00,Rs 41.67
Turnip,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brd Leaf Mustard,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cress Leaf,KG,Rs 140.00,Rs 150.00,Rs 145.00
Fenugreek Leaf,KG,Rs 140.00,Rs 150.00,Rs 145.00
Bakula,KG,Rs 100.00,Rs 110.00,Rs 105.00
Mushroom(Button),KG,Rs 230.00,Rs 280.00,Rs 257.50
Brocauli,KG,Rs 120.00,Rs 140.00,Rs 130.00
Red Cabbbage,KG,Rs 70.00,Rs 80.00,Rs 75.00
Celery,KG,Rs 500.00,Rs 600.00,Rs 550.00
Mint,KG,Rs 500.00,Rs 700.00,Rs 600.00
Tamarind,KG,Rs 140.00,Rs 160.00,Rs 150.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 160.00,Rs 180.00,Rs 170.00
Pomegranate,KG,Rs 450.00,Rs 480.00,Rs 466.67
Orange(Nepali),KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 200.00,Rs 210.00,Rs 205.00
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Akbare),KG,Rs 270.00,Rs 300.00,Rs 283.33
Garlic Green,KG,Rs 250.00,Rs 320.00,Rs 287.50
Garlic Dry Chinese,KG,Rs 310.00,Rs 330.00,Rs 320.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 351.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 280.00,Rs 260.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Small(Local),KG,Rs 35.00,Rs 45.00,Rs 40.00
