Name,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),KG,Rs 90.00,Rs 100.00,Rs 95.00
Tomato Small(Tunnel),KG,Rs 70.00,Rs 95.00,Rs 83.75
Potato Red,KG,Rs 70.00,Rs 75.00,Rs 72.33
Potato White,KG,Rs 55.00,Rs 62.00,Rs 59.00
Carrot(Local),KG,Rs 140.00,Rs 150.00,Rs 145.00
Cabbage(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Cauli Local,KG,Rs 100.00,Rs 120.00,Rs 110.00
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Rajma),KG,Rs 100.00,Rs 120.00,Rs 110.00
Bitter Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pointed Gourd(Local),KG,Rs 75.00,Rs 85.00,Rs 80.00
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 50.00,Rs 60.00,Rs 55.00
Okara,KG,Rs 150.00,Rs 160.00,Rs 155.00
Barela,KG,Rs 40.00,Rs 50.00,Rs 45.00
Christophine,KG,Rs 15.00,Rs 20.00,Rs 17.67
Spinach Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Onion Green,KG,Rs 100.00,Rs 150.00,Rs 126.67
Yam,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mushroom(Button),KG,Rs 300.00,Rs 325.00,Rs 313.33
Brocauli,KG,Rs 120.00,Rs 140.00,Rs 130.00
Red Cabbbage,KG,Rs 80.00,Rs 90.00,Rs 85.00
Celery,KG,Rs 500.00,Rs 600.00,Rs 550.00
Fennel Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 140.00,Rs 160.00,Rs 150.00
Grapes(Black),KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Indian),KG,Rs 90.00,Rs 110.00,Rs 100.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 65.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 130.00,Rs 150.00,Rs 140.00
Chilli Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Green(Akbare),KG,Rs 250.00,Rs 300.00,Rs 275.00
Garlic Green,KG,Rs 200.00,Rs 300.00,Rs 250.00
