Name,Unit,Minimum,Maximum,Average
Tomato Big(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Tomato Small(Terai),KG,Rs 14.00,Rs 22.00,Rs 18.50
Potato Red(Indian),KG,Rs 30.00,Rs 32.00,Rs 31.00
Carrot(Local),KG,Rs 25.00,Rs 35.00,Rs 30.00
Cabbage(Local),KG,Rs 8.00,Rs 15.00,Rs 11.25
Cabbage,KG,Rs 8.00,Rs 12.00,Rs 10.00
Cauli Local(Jyapu),KG,Rs 20.00,Rs 25.00,Rs 22.33
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 18.00,Rs 25.00,Rs 21.25
Brinjal Round,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Rajma),KG,Rs 80.00,Rs 90.00,Rs 85.00
Bitter Gourd,KG,Rs 80.00,Rs 100.00,Rs 90.00
Pointed Gourd(Terai),KG,Rs 180.00,Rs 200.00,Rs 190.00
Pumpkin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),KG,Rs 8.00,Rs 12.00,Rs 10.00
Sweet Potato,KG,Rs 60.00,Rs 70.00,Rs 65.00
Arum,KG,Rs 110.00,Rs 130.00,Rs 120.00
Brd Leaf Mustard,KG,Rs 15.00,Rs 25.00,Rs 20.00
Cress Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Fenugreek Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bakula,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mushroom(Kanya),KG,Rs 60.00,Rs 80.00,Rs 70.00
Asparagus,KG,Rs 900.00,"Rs 1,400.00","Rs 1,166.67"
Sugarbeet,KG,Rs 50.00,Rs 60.00,Rs 55.00
Red Cabbbage,KG,Rs 50.00,Rs 60.00,Rs 55.00
Celery,KG,Rs 100.00,Rs 150.00,Rs 126.67
Fennel Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Turnip A,KG,Rs 50.00,Rs 60.00,Rs 55.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 300.00,Rs 350.00,Rs 326.67
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 276.67
Lime,KG,Rs 170.00,Rs 180.00,Rs 175.00
Grapes(Green),KG,Rs 130.00,Rs 180.00,Rs 153.33
Orange(Nepali),KG,Rs 120.00,Rs 140.00,Rs 130.00
Water Melon(Green),KG,Rs 40.00,Rs 50.00,Rs 45.00
Mandarin,KG,Rs 120.00,Rs 140.00,Rs 130.00
Cucumber(Local),KG,Rs 50.00,Rs 70.00,Rs 60.00
Jack Fruit,KG,Rs 100.00,Rs 110.00,Rs 105.00
Pear(Chinese),KG,Rs 210.00,Rs 240.00,Rs 226.67
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mombin,KG,Rs 120.00,Rs 140.00,Rs 130.00
Strawberry,KG,Rs 350.00,Rs 400.00,Rs 376.67
Ginger,KG,Rs 100.00,Rs 120.00,Rs 110.00
Chilli Green,KG,Rs 110.00,Rs 120.00,Rs 115.00
Chilli Green(Machhe),KG,Rs 50.00,Rs 60.00,Rs 55.00
Garlic Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Garlic Dry Chinese,KG,Rs 270.00,Rs 290.00,Rs 280.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 360.00,Rs 420.00,Rs 390.00
Fish Fresh(Chhadi),KG,Rs 250.00,Rs 300.00,Rs 276.67
Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 55.00
Potato Red,KG,Rs 32.00,Rs 34.00,Rs 33.00
Onion Dry (Indian),KG,Rs 68.00,Rs 70.00,Rs 69.00
Carrot(Terai),KG,Rs 25.00,Rs 30.00,Rs 27.67
Cabbage(Terai),KG,Rs 8.00,Rs 15.00,Rs 11.25
Cauli Local,KG,Rs 15.00,Rs 25.00,Rs 20.00
Cauli Terai,KG,Rs 15.00,Rs 25.00,Rs 20.00
Raddish White(Local),KG,Rs 12.00,Rs 18.00,Rs 15.00
Brinjal Long,KG,Rs 20.00,Rs 30.00,Rs 25.00
Green Peas,KG,Rs 40.00,Rs 60.00,Rs 50.00
French Bean(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Sword Bean,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bottle Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Sponge Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Squash(Long),KG,Rs 8.00,Rs 12.00,Rs 10.00
Okara,KG,Rs 100.00,Rs 110.00,Rs 105.00
Barela,KG,Rs 30.00,Rs 40.00,Rs 35.00
Christophine,KG,Rs 35.00,Rs 45.00,Rs 40.00
Spinach Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mustard Leaf,KG,Rs 25.00,Rs 30.00,Rs 27.67
Onion Green,KG,Rs 20.00,Rs 30.00,Rs 25.00
Yam,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Button),KG,Rs 250.00,Rs 300.00,Rs 276.67
Brocauli,KG,Rs 35.00,Rs 45.00,Rs 40.00
Drumstick,KG,Rs 180.00,Rs 200.00,Rs 190.00
Lettuce,KG,Rs 50.00,Rs 60.00,Rs 55.00
Parseley,KG,Rs 250.00,Rs 300.00,Rs 276.67
Mint,KG,Rs 250.00,Rs 300.00,Rs 276.67
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 155.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 180.00,Rs 200.00,Rs 190.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Pomegranate,KG,Rs 330.00,Rs 380.00,Rs 353.33
Grapes(Black),KG,Rs 230.00,Rs 280.00,Rs 253.33
Orange(Indian),KG,Rs 120.00,Rs 140.00,Rs 130.00
Sweet Orange,KG,Rs 140.00,Rs 160.00,Rs 150.00
Pineapple,1 Pc,Rs 150.00,Rs 180.00,Rs 163.33
Cucumber(Hybrid),KG,Rs 20.00,Rs 30.00,Rs 25.00
Lemon,KG,Rs 60.00,Rs 70.00,Rs 65.00
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 120.00,Rs 140.00,Rs 130.00
Musk Melon,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 450.00,Rs 480.00,Rs 463.33
Chilli Dry,KG,Rs 320.00,Rs 340.00,Rs 330.00
Chilli Green(Bullet),KG,Rs 110.00,Rs 120.00,Rs 115.00
Capsicum,KG,Rs 60.00,Rs 70.00,Rs 65.00
Coriander Green,KG,Rs 40.00,Rs 50.00,Rs 45.00
Garlic Dry Nepali,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 300.00,Rs 276.67
Tree Tomato,Kg,Rs 170.00,Rs 180.00,Rs 175.00
