Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 80.00,Rs 100.00,Rs 90.00
Tomato Small(Tunnel),KG,Rs 110.00,Rs 120.00,Rs 115.00
Tomato Small(Terai),KG,Rs 90.00,Rs 100.00,Rs 95.00
Potato Red(Indian),KG,Rs 60.00,Rs 65.00,Rs 62.67
Onion Dry (Indian),KG,Rs 90.00,Rs 95.00,Rs 92.67
Carrot(Terai),KG,Rs 130.00,Rs 150.00,Rs 140.00
Cabbage(Terai),KG,Rs 60.00,Rs 65.00,Rs 62.67
Cauli Local(Jyapu),KG,Rs 90.00,Rs 100.00,Rs 95.00
Raddish Red,KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish White(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Round,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cowpea(Short),KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Local),KG,Rs 120.00,Rs 135.00,Rs 127.50
French Bean(Rajma),KG,Rs 120.00,Rs 130.00,Rs 125.00
Bitter Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pointed Gourd(Local),KG,Rs 80.00,Rs 90.00,Rs 85.00
Snake Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Long),KG,Rs 50.00,Rs 60.00,Rs 55.00
Okara,KG,Rs 100.00,Rs 120.00,Rs 110.00
Barela,KG,Rs 60.00,Rs 70.00,Rs 65.00
Christophine,KG,Rs 20.00,Rs 30.00,Rs 25.00
Spinach Leaf,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Onion Green,KG,Rs 100.00,Rs 120.00,Rs 110.00
Yam,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mushroom(Button),KG,Rs 280.00,Rs 320.00,Rs 300.00
Brocauli,KG,Rs 120.00,Rs 140.00,Rs 130.00
Red Cabbbage,KG,Rs 70.00,Rs 80.00,Rs 75.00
Knolkhol,KG,Rs 70.00,Rs 80.00,Rs 75.00
Parseley,KG,Rs 800.00,"Rs 1,000.00",Rs 900.00
Mint,KG,Rs 300.00,Rs 350.00,Rs 326.67
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 155.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 150.00,Rs 170.00,Rs 160.00
Pomegranate,KG,Rs 350.00,Rs 400.00,Rs 376.67
Orange(Nepali),KG,Rs 80.00,Rs 90.00,Rs 85.00
Water Melon(Green),KG,Rs 60.00,Rs 70.00,Rs 65.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Cucumber(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Lemon,KG,Rs 60.00,Rs 70.00,Rs 65.00
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 180.00,Rs 200.00,Rs 190.00
Strawberry,KG,Rs 400.00,Rs 500.00,Rs 450.00
Sarifa,KG,Rs 200.00,Rs 250.00,Rs 226.67
Amla,KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Dry,KG,Rs 380.00,Rs 400.00,Rs 390.00
Chilli Green(Bullet),KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Akbare),KG,Rs 250.00,Rs 300.00,Rs 276.67
Garlic Green,KG,Rs 200.00,Rs 250.00,Rs 226.67
Garlic Dry Chinese,KG,Rs 350.00,Rs 360.00,Rs 355.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 270.00,Rs 260.00
Tree Tomato,Kg,Rs 150.00,Rs 180.00,Rs 166.67
Tomato Small(Local),KG,Rs 80.00,Rs 95.00,Rs 88.33
Tomato Small(Indian),KG,Rs 85.00,Rs 98.00,Rs 91.00
Potato Red,KG,Rs 60.00,Rs 70.00,Rs 65.00
Potato White,KG,Rs 58.00,Rs 60.00,Rs 59.00
Carrot(Local),KG,Rs 140.00,Rs 150.00,Rs 145.00
Cabbage(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Local,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cauli Terai,KG,Rs 60.00,Rs 70.00,Rs 65.00
Raddish White(Local),KG,Rs 35.00,Rs 45.00,Rs 40.00
Brinjal Long,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cow pea(Long),KG,Rs 140.00,Rs 150.00,Rs 145.00
Green Peas,KG,Rs 170.00,Rs 180.00,Rs 175.00
French Bean(Hybrid),KG,Rs 120.00,Rs 140.00,Rs 128.75
Sword Bean,KG,Rs 110.00,Rs 130.00,Rs 120.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 75.00
Pumpkin,KG,Rs 35.00,Rs 40.00,Rs 37.67
Squash(Round),KG,Rs 50.00,Rs 60.00,Rs 55.00
Sweet Potato,KG,Rs 80.00,Rs 90.00,Rs 85.00
Arum,KG,Rs 60.00,Rs 80.00,Rs 70.00
Brd Leaf Mustard,KG,Rs 35.00,Rs 45.00,Rs 40.00
Cress Leaf,KG,Rs 120.00,Rs 150.00,Rs 133.33
Fenugreek Leaf,KG,Rs 100.00,Rs 110.00,Rs 105.00
Bakula,KG,Rs 130.00,Rs 140.00,Rs 135.00
Mushroom(Kanya),KG,Rs 160.00,Rs 200.00,Rs 180.00
Asparagus,KG,"Rs 1,100.00","Rs 1,200.00","Rs 1,150.00"
Sugarbeet,KG,Rs 100.00,Rs 110.00,Rs 105.00
Lettuce,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,KG,Rs 300.00,Rs 400.00,Rs 350.00
Fennel Leaf,KG,Rs 90.00,Rs 110.00,Rs 98.75
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 280.00,Rs 300.00,Rs 290.00
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 140.00,Rs 150.00,Rs 145.00
Grapes(Green),KG,Rs 200.00,Rs 250.00,Rs 226.67
Orange(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 55.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 180.00,Rs 230.00,Rs 207.50
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 110.00,Rs 130.00,Rs 120.00
Chilli Green,KG,Rs 40.00,Rs 50.00,Rs 45.00
Chilli Green(Machhe),KG,Rs 100.00,Rs 130.00,Rs 115.00
Capsicum,KG,Rs 80.00,Rs 90.00,Rs 85.00
Coriander Green,KG,Rs 180.00,Rs 200.00,Rs 190.00
Garlic Dry Nepali,KG,Rs 350.00,Rs 360.00,Rs 355.00
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 351.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 260.00,Rs 250.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
