Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Tomato Small(Tunnel),KG,Rs 110.00,Rs 120.00,Rs 115.00
Tomato Small(Terai),KG,Rs 100.00,Rs 110.00,Rs 105.00
Potato Red(Indian),KG,Rs 58.00,Rs 60.00,Rs 59.00
Onion Dry (Indian),KG,Rs 95.00,Rs 98.00,Rs 96.33
Carrot(Terai),KG,Rs 100.00,Rs 120.00,Rs 110.00
Cabbage(Terai),KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),KG,Rs 100.00,Rs 110.00,Rs 105.00
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 50.00,Rs 60.00,Rs 55.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Local),KG,Rs 120.00,Rs 130.00,Rs 125.00
Sword Bean,KG,Rs 130.00,Rs 150.00,Rs 140.00
Bottle Gourd,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pointed Gourd(Terai),KG,Rs 80.00,Rs 90.00,Rs 85.00
Smooth Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Squash(Long),KG,Rs 50.00,Rs 60.00,Rs 55.00
Okara,KG,Rs 110.00,Rs 120.00,Rs 115.00
Barela,KG,Rs 100.00,Rs 110.00,Rs 105.00
Christophine,KG,Rs 30.00,Rs 40.00,Rs 35.00
Spinach Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mustard Leaf,KG,Rs 40.00,Rs 50.00,Rs 45.00
Onion Green,KG,Rs 80.00,Rs 100.00,Rs 90.00
Yam,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mushroom(Button),KG,Rs 250.00,Rs 300.00,Rs 276.67
Brocauli,KG,Rs 100.00,Rs 120.00,Rs 110.00
Red Cabbbage,KG,Rs 90.00,Rs 100.00,Rs 95.00
Knolkhol,KG,Rs 70.00,Rs 80.00,Rs 75.00
Parseley,KG,Rs 700.00,Rs 800.00,Rs 750.00
Mint,KG,Rs 300.00,Rs 350.00,Rs 326.67
Tamarind,KG,Rs 145.00,Rs 160.00,Rs 151.67
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 150.00,Rs 170.00,Rs 160.00
Pomegranate,KG,Rs 350.00,Rs 400.00,Rs 376.67
Grapes(Black),KG,Rs 350.00,Rs 400.00,Rs 376.67
Orange(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Cucumber(Local),KG,Rs 100.00,Rs 120.00,Rs 110.00
Lemon,KG,Rs 60.00,Rs 70.00,Rs 65.00
Papaya(Nepali),KG,Rs 60.00,Rs 70.00,Rs 65.00
Guava,KG,Rs 180.00,Rs 200.00,Rs 190.00
Strawberry,KG,Rs 400.00,Rs 500.00,Rs 450.00
Sarifa,KG,Rs 200.00,Rs 250.00,Rs 226.67
Amla,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Dry,KG,Rs 380.00,Rs 400.00,Rs 390.00
Chilli Green(Bullet),KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Akbare),KG,Rs 280.00,Rs 300.00,Rs 290.00
Garlic Green,KG,Rs 200.00,Rs 220.00,Rs 210.00
Garlic Dry Chinese,KG,Rs 350.00,Rs 360.00,Rs 355.00
Clive Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 270.00,Rs 260.00
Tree Tomato,Kg,Rs 150.00,Rs 160.00,Rs 155.00
Lentinula Edodes,Kg,Rs 700.00,Rs 800.00,Rs 750.00
Tomato Small(Local),KG,Rs 80.00,Rs 90.00,Rs 85.00
Tomato Small(Indian),KG,Rs 100.00,Rs 110.00,Rs 105.00
