Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Tomato Small(Tunnel),KG,Rs 100.00,Rs 120.00,Rs 110.00
Potato Red,KG,Rs 75.00,Rs 80.00,Rs 77.67
Potato White,KG,Rs 60.00,Rs 65.00,Rs 62.67
Carrot(Terai),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cabbage(Terai),KG,Rs 50.00,Rs 65.00,Rs 57.50
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Rajma),KG,Rs 100.00,Rs 120.00,Rs 110.00
Soyabean Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pointed Gourd(Terai),KG,Rs 70.00,Rs 80.00,Rs 75.00
Smooth Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Potato,KG,Rs 130.00,Rs 150.00,Rs 140.00
Arum,KG,Rs 130.00,Rs 140.00,Rs 135.00
Brd Leaf Mustard,KG,Rs 30.00,Rs 60.00,Rs 45.00
Cress Leaf,KG,Rs 100.00,Rs 150.00,Rs 126.67
Fenugreek Leaf,KG,Rs 100.00,Rs 150.00,Rs 125.00
Mushroom(Kanya),KG,Rs 180.00,Rs 230.00,Rs 203.33
Asparagus,KG,Rs 800.00,"Rs 1,000.00",Rs 900.00
Sugarbeet,KG,Rs 110.00,Rs 120.00,Rs 115.00
Lettuce,KG,Rs 100.00,Rs 150.00,Rs 126.67
Parseley,KG,"Rs 1,500.00","Rs 1,800.00","Rs 1,666.67"
Turnip A,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 273.33
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 170.00,Rs 190.00,Rs 180.00
Grapes(Black),KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Hybrid),KG,Rs 80.00,Rs 90.00,Rs 85.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
