Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Tomato Small(Tunnel),KG,Rs 70.00,Rs 90.00,Rs 80.00
Tomato Small(Terai),KG,Rs 70.00,Rs 90.00,Rs 78.75
Potato Red(Indian),KG,Rs 70.00,Rs 72.00,Rs 71.00
Onion Dry (Indian),KG,Rs 110.00,Rs 112.00,Rs 111.00
Carrot(Terai),KG,Rs 130.00,Rs 150.00,Rs 140.00
Cabbage(Terai),KG,Rs 80.00,Rs 90.00,Rs 85.00
Cauli Terai,KG,Rs 100.00,Rs 120.00,Rs 110.00
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),KG,Rs 140.00,Rs 150.00,Rs 145.00
Green Peas,KG,Rs 140.00,Rs 150.00,Rs 145.00
French Bean(Hybrid),KG,Rs 130.00,Rs 140.00,Rs 135.00
Sword Bean,KG,Rs 130.00,Rs 140.00,Rs 135.00
Bottle Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pointed Gourd(Terai),KG,Rs 90.00,Rs 100.00,Rs 95.00
Smooth Gourd,KG,Rs 70.00,Rs 80.00,Rs 75.00
Squash(Long),KG,Rs 50.00,Rs 60.00,Rs 55.00
Turnip,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sweet Potato,KG,Rs 110.00,Rs 120.00,Rs 115.00
Christophine,KG,Rs 20.00,Rs 30.00,Rs 25.00
Spinach Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Fenugreek Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bakula,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mushroom(Kanya),KG,Rs 200.00,Rs 220.00,Rs 210.00
Asparagus,KG,"Rs 1,100.00","Rs 1,200.00","Rs 1,150.00"
Sugarbeet,KG,Rs 110.00,Rs 120.00,Rs 115.00
Lettuce,KG,Rs 110.00,Rs 120.00,Rs 115.00
Parseley,KG,"Rs 1,500.00","Rs 1,800.00","Rs 1,633.33"
Mint,KG,Rs 600.00,Rs 700.00,Rs 650.00
Tamarind,KG,Rs 140.00,Rs 160.00,Rs 150.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 150.00,Rs 170.00,Rs 160.00
Pomegranate,KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Nepali),KG,Rs 90.00,Rs 100.00,Rs 95.00
Water Melon(Green),KG,Rs 80.00,Rs 100.00,Rs 90.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Cucumber(Hybrid),KG,Rs 70.00,Rs 80.00,Rs 75.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 130.00,Rs 150.00,Rs 140.00
Chilli Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Green(Machhe),KG,Rs 170.00,Rs 180.00,Rs 175.00
Capsicum,KG,Rs 100.00,Rs 120.00,Rs 110.00
Coriander Green,KG,Rs 200.00,Rs 250.00,Rs 226.67
Garlic Dry Nepali,KG,Rs 350.00,Rs 360.00,Rs 355.00
Clive Green,KG,Rs 180.00,Rs 200.00,Rs 190.00
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 280.00,Rs 263.33
Tree Tomato,Kg,Rs 150.00,Rs 180.00,Rs 166.67
Tomato Small(Local),KG,Rs 60.00,Rs 75.00,Rs 67.50
Tomato Small(Indian),KG,Rs 60.00,Rs 70.00,Rs 65.00
Potato Red,KG,Rs 65.00,Rs 72.00,Rs 68.75
Potato White,KG,Rs 55.00,Rs 65.00,Rs 59.50
Carrot(Local),KG,Rs 140.00,Rs 160.00,Rs 150.00
Cabbage(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cauli Local,KG,Rs 100.00,Rs 120.00,Rs 110.00
Raddish Red,KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish White(Hybrid),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 130.00,Rs 140.00,Rs 135.00
French Bean(Rajma),KG,Rs 120.00,Rs 130.00,Rs 125.00
Bitter Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pointed Gourd(Local),KG,Rs 80.00,Rs 90.00,Rs 85.00
Snake Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 50.00,Rs 60.00,Rs 55.00
Okara,KG,Rs 120.00,Rs 130.00,Rs 125.00
Barela,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brd Leaf Mustard,KG,Rs 25.00,Rs 50.00,Rs 36.25
Mustard Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Onion Green,KG,Rs 100.00,Rs 150.00,Rs 126.67
Yam,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Button),KG,Rs 350.00,Rs 400.00,Rs 376.67
Brocauli,KG,Rs 140.00,Rs 160.00,Rs 150.00
Red Cabbbage,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,KG,Rs 500.00,Rs 600.00,Rs 550.00
Fennel Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 280.00,Rs 300.00,Rs 290.00
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 140.00,Rs 160.00,Rs 150.00
Grapes(Black),KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Cucumber(Local),KG,Rs 110.00,Rs 120.00,Rs 115.00
Lemon,KG,Rs 40.00,Rs 50.00,Rs 45.00
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 150.00,Rs 180.00,Rs 166.67
Strawberry,KG,Rs 500.00,Rs 600.00,Rs 550.00
Sarifa,KG,Rs 200.00,Rs 250.00,Rs 226.67
Amla,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Dry,KG,Rs 380.00,Rs 400.00,Rs 390.00
Chilli Green(Bullet),KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Akbare),KG,Rs 280.00,Rs 320.00,Rs 300.00
Garlic Green,KG,Rs 140.00,Rs 200.00,Rs 173.33
Garlic Dry Chinese,KG,Rs 350.00,Rs 360.00,Rs 355.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 351.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 260.00,Rs 250.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
