Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 50.00,Rs 60.00,Rs 55.00
Potato Red,KG,Rs 32.00,Rs 36.00,Rs 33.67
Onion Dry (Indian),KG,Rs 66.00,Rs 68.00,Rs 67.00
Carrot(Terai),KG,Rs 20.00,Rs 30.00,Rs 25.00
Cabbage(Terai),KG,Rs 8.00,Rs 12.00,Rs 10.00
Cauli Local,KG,Rs 8.00,Rs 12.00,Rs 10.00
Cauli Terai,KG,Rs 8.00,Rs 12.00,Rs 10.00
Raddish White(Local),KG,Rs 15.00,Rs 20.00,Rs 17.67
Brinjal Long,KG,Rs 20.00,Rs 30.00,Rs 25.00
Green Peas,KG,Rs 50.00,Rs 60.00,Rs 55.00
French Bean(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Sword Bean,KG,Rs 30.00,Rs 40.00,Rs 35.00
Bottle Gourd,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Long),KG,Rs 10.00,Rs 20.00,Rs 15.00
Turnip,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brd Leaf Mustard,KG,Rs 8.00,Rs 12.00,Rs 10.00
Cress Leaf,KG,Rs 35.00,Rs 45.00,Rs 40.00
Fenugreek Leaf,KG,Rs 35.00,Rs 45.00,Rs 40.00
Bakula,KG,Rs 60.00,Rs 70.00,Rs 65.00
Mushroom(Kanya),KG,Rs 90.00,Rs 120.00,Rs 103.33
Brocauli,KG,Rs 20.00,Rs 30.00,Rs 25.00
Drumstick,KG,Rs 180.00,Rs 200.00,Rs 190.00
Lettuce,KG,Rs 60.00,Rs 70.00,Rs 65.00
Celery,KG,Rs 300.00,Rs 400.00,Rs 350.00
Fennel Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Turnip A,KG,Rs 60.00,Rs 70.00,Rs 65.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 280.00,Rs 300.00,Rs 290.00
Apple(Fuji),KG,Rs 250.00,Rs 300.00,Rs 276.67
Lime,KG,Rs 140.00,Rs 150.00,Rs 145.00
Grapes(Green),KG,Rs 200.00,Rs 250.00,Rs 226.67
Orange(Nepali),KG,Rs 140.00,Rs 150.00,Rs 145.00
Water Melon(Green),KG,Rs 30.00,Rs 40.00,Rs 35.00
Pineapple,1 Pc,Rs 150.00,Rs 200.00,Rs 176.67
Cucumber(Hybrid),KG,Rs 40.00,Rs 50.00,Rs 45.00
Lemon,KG,Rs 50.00,Rs 60.00,Rs 55.00
Papaya(Nepali),KG,Rs 50.00,Rs 60.00,Rs 55.00
Guava,KG,Rs 100.00,Rs 120.00,Rs 110.00
Strawberry,KG,Rs 400.00,Rs 500.00,Rs 450.00
Avocado,KG,Rs 280.00,Rs 300.00,Rs 290.00
Ginger,KG,Rs 110.00,Rs 120.00,Rs 115.00
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),KG,Rs 40.00,Rs 50.00,Rs 45.00
Capsicum,KG,Rs 60.00,Rs 70.00,Rs 65.00
Coriander Green,KG,Rs 40.00,Rs 50.00,Rs 45.00
Garlic Dry Nepali,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,KG,Rs 200.00,Rs 250.00,Rs 226.67
Fish Fresh(Bachuwa),KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),KG,Rs 400.00,Rs 450.00,Rs 426.67
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Small(Terai),KG,Rs 17.00,Rs 20.00,Rs 18.33
Potato Red(Indian),KG,Rs 32.00,Rs 34.00,Rs 33.00
Carrot(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Cabbage(Local),KG,Rs 10.00,Rs 15.00,Rs 12.33
Cabbage,KG,Rs 8.00,Rs 12.00,Rs 10.00
Cauli Local(Jyapu),KG,Rs 15.00,Rs 20.00,Rs 17.67
Raddish Red,KG,Rs 20.00,Rs 30.00,Rs 25.00
Raddish White(Hybrid),KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Rajma),KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 110.00,Rs 120.00,Rs 115.00
Pumpkin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),KG,Rs 10.00,Rs 20.00,Rs 15.00
Okara,KG,Rs 100.00,Rs 110.00,Rs 105.00
Barela,KG,Rs 30.00,Rs 40.00,Rs 35.00
Christophine,KG,Rs 30.00,Rs 40.00,Rs 35.00
Spinach Leaf,KG,Rs 35.00,Rs 45.00,Rs 40.00
Mustard Leaf,KG,Rs 20.00,Rs 25.00,Rs 22.67
Onion Green,KG,Rs 30.00,Rs 40.00,Rs 35.00
Yam,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mushroom(Button),KG,Rs 360.00,Rs 400.00,Rs 380.00
Sugarbeet,KG,Rs 60.00,Rs 70.00,Rs 65.00
Red Cabbbage,KG,Rs 60.00,Rs 70.00,Rs 65.00
Knolkhol,KG,Rs 70.00,Rs 80.00,Rs 75.00
Parseley,KG,Rs 600.00,Rs 700.00,Rs 650.00
Mint,KG,Rs 300.00,Rs 400.00,Rs 350.00
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 155.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Pomegranate,KG,Rs 300.00,Rs 350.00,Rs 326.67
Grapes(Black),KG,Rs 300.00,Rs 350.00,Rs 326.67
Orange(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mandarin,KG,Rs 100.00,Rs 110.00,Rs 105.00
Cucumber(Local),KG,Rs 110.00,Rs 120.00,Rs 115.00
