Name,Unit,Minimum,Maximum,Average
Tomato Big(Indian),KG,Rs 80.00,Rs 90.00,Rs 85.00
Tomato Small(Indian),KG,Rs 35.00,Rs 45.00,Rs 40.00
Potato Red,KG,Rs 45.00,Rs 52.00,Rs 49.00
Onion Dry (Indian),KG,Rs 70.00,Rs 72.00,Rs 71.00
Carrot(Terai),KG,Rs 80.00,Rs 90.00,Rs 85.00
Cabbage(Terai),KG,Rs 15.00,Rs 20.00,Rs 17.67
Cauli Local,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Terai,KG,Rs 20.00,Rs 30.00,Rs 25.00
Raddish White(Local),KG,Rs 25.00,Rs 30.00,Rs 27.67
Brinjal Long,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cowpea(Short),KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Rajma),KG,Rs 80.00,Rs 90.00,Rs 85.00
Bitter Gourd,KG,Rs 90.00,Rs 100.00,Rs 95.00
Pointed Gourd(Terai),KG,Rs 90.00,Rs 100.00,Rs 95.00
Squash(Long),KG,Rs 20.00,Rs 30.00,Rs 25.00
Turnip,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 80.00,Rs 90.00,Rs 85.00
Brd Leaf Mustard,KG,Rs 15.00,Rs 25.00,Rs 20.00
Cress Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Fenugreek Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bakula,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Kanya),KG,Rs 60.00,Rs 80.00,Rs 71.67
Brocauli,KG,Rs 40.00,Rs 50.00,Rs 45.00
Drumstick,KG,Rs 240.00,Rs 250.00,Rs 245.00
Lettuce,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,KG,Rs 300.00,Rs 400.00,Rs 350.00
Fennel Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Turnip A,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),KG,Rs 260.00,Rs 300.00,Rs 280.00
Lime,KG,Rs 130.00,Rs 140.00,Rs 135.00
Grapes(Green),KG,Rs 200.00,Rs 250.00,Rs 226.67
Orange(Nepali),KG,Rs 100.00,Rs 125.00,Rs 113.33
Cucumber(Local),KG,Rs 110.00,Rs 130.00,Rs 120.00
Lemon,KG,Rs 40.00,Rs 50.00,Rs 45.00
Papaya(Nepali),KG,Rs 60.00,Rs 70.00,Rs 65.00
Guava,KG,Rs 100.00,Rs 110.00,Rs 105.00
Strawberry,KG,Rs 400.00,Rs 500.00,Rs 450.00
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 110.00,Rs 130.00,Rs 120.00
Chilli Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Chilli Green(Machhe),KG,Rs 50.00,Rs 60.00,Rs 55.00
Capsicum,KG,Rs 80.00,Rs 90.00,Rs 85.00
Coriander Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Garlic Dry Nepali,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Green,KG,Rs 200.00,Rs 250.00,Rs 226.67
Fish Fresh(Bachuwa),KG,Rs 240.00,Rs 260.00,Rs 250.00
Fish Fresh(Mungari),KG,Rs 400.00,Rs 450.00,Rs 426.67
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Small(Local),KG,Rs 20.00,Rs 25.00,Rs 22.67
Tomato Small(Terai),KG,Rs 35.00,Rs 45.00,Rs 40.00
Potato Red(Indian),KG,Rs 40.00,Rs 44.00,Rs 42.33
